meter_id,date,daily_energy_wh
1130211_FD1_L1_EDMI_1_D,2013-12-08,10983
1130211_FD1_L1_EDMI_1_D,2013-12-09,6815
1130211_FD1_L1_EDMI_1_D,2013-12-10,5029
1130211_FD1_L1_EDMI_1_D,2013-12-11,4881
1130211_FD1_L1_EDMI_1_D,2013-12-12,4115
1130211_FD1_L1_EDMI_1_D,2013-12-13,2124
1130211_FD1_L1_EDMI_1_D,2013-12-14,2123
1130211_FD1_L1_EDMI_1_D,2013-12-15,2009
1130211_FD1_L1_EDMI_1_D,2013-12-16,5223
1130211_FD1_L1_EDMI_1_D,2013-12-17,7292
1130211_FD1_L1_EDMI_1_D,2013-12-18,8506
1130211_FD1_L1_EDMI_1_D,2013-12-19,7402
1130211_FD1_L1_EDMI_1_D,2013-12-20,7058
1130211_FD1_L1_EDMI_1_D,2013-12-21,10769
1130211_FD1_L1_EDMI_1_D,2013-12-22,9393
1130211_FD1_L1_EDMI_1_D,2013-12-23,6789
1130211_FD1_L1_EDMI_1_D,2013-12-24,7266
1130211_FD1_L1_EDMI_1_D,2013-12-25,2082
1130211_FD1_L1_EDMI_1_D,2013-12-26,3733
1130211_FD1_L1_EDMI_1_D,2013-12-27,10036
1130211_FD1_L1_EDMI_1_D,2013-12-28,10081
1130211_FD1_L1_EDMI_1_D,2013-12-29,8411
1130211_FD1_L1_EDMI_1_D,2013-12-30,8105
1130211_FD1_L1_EDMI_1_D,2013-12-31,6757
1130211_FD1_L1_EDMI_1_D,2014-01-01,7650
1130211_FD1_L1_EDMI_1_D,2014-01-02,8862
1130211_FD1_L1_EDMI_1_D,2014-01-03,8434
1130211_FD1_L1_EDMI_1_D,2014-01-04,9185
1130211_FD1_L1_EDMI_1_D,2014-01-05,11155
1130211_FD1_L1_EDMI_1_D,2014-01-06,5782
1130211_FD1_L1_EDMI_1_D,2014-01-07,5271
1130211_FD1_L1_EDMI_1_D,2014-01-08,10318
1130211_FD1_L1_EDMI_1_D,2014-01-09,8774
1130211_FD1_L1_EDMI_1_D,2014-01-10,10215
1130211_FD1_L1_EDMI_1_D,2014-01-11,8635
1130211_FD1_L1_EDMI_1_D,2014-01-12,10465
1130211_FD1_L1_EDMI_1_D,2014-01-13,7766
1130211_FD1_L1_EDMI_1_D,2014-01-14,7721
1130211_FD1_L1_EDMI_1_D,2014-01-15,8774
1130211_FD1_L1_EDMI_1_D,2014-01-16,7930
1130211_FD1_L1_EDMI_1_D,2014-01-17,7524
1130211_FD1_L1_EDMI_1_D,2014-01-18,6951
1130211_FD1_L1_EDMI_1_D,2014-01-19,11544
1130211_FD1_L1_EDMI_1_D,2014-01-20,8247
1130211_FD1_L1_EDMI_1_D,2014-01-21,7786
1130211_FD1_L1_EDMI_1_D,2014-01-22,6667
1130211_FD1_L1_EDMI_1_D,2014-01-23,8328
1130211_FD1_L1_EDMI_1_D,2014-01-24,8328
1130211_FD1_L1_EDMI_1_D,2014-01-25,11672
1130211_FD1_L1_EDMI_1_D,2014-01-26,11701
1130211_FD1_L1_EDMI_1_D,2014-01-27,7557
1130211_FD1_L1_EDMI_1_D,2014-01-28,7820
1130211_FD1_L1_EDMI_1_D,2014-01-29,7691
1130211_FD1_L1_EDMI_1_D,2014-01-30,3174
1130211_FD1_L1_EDMI_1_D,2014-01-31,2990
1130211_FD1_L1_EDMI_1_D,2014-02-01,2864
1130211_FD1_L1_EDMI_1_D,2014-02-02,2939
1130211_FD1_L1_EDMI_1_D,2014-02-03,2879
1130211_FD1_L1_EDMI_1_D,2014-02-04,2818
1130211_FD1_L1_EDMI_1_D,2014-02-05,2930
1130211_FD1_L1_EDMI_1_D,2014-02-06,2913
1130211_FD1_L1_EDMI_1_D,2014-02-07,2793
1130211_FD1_L1_EDMI_1_D,2014-02-08,2803
1130211_FD1_L1_EDMI_1_D,2014-02-09,2971
1130211_FD1_L1_EDMI_1_D,2014-02-10,2931
